Activity or Task,Hazards & Risks,Current Risk Controls,Current Risk Rating - Consequence,Current Risk Rating - Likelihood,Current Risk Rating - Risk Rating,Additional Risk Control Measures,Residual Risk Rating - Consequence,Residual Risk Rating - Likelihood,Residual Risk Rating - Risk Rating,Responsibility
"Activity 2: Setting up HTC Vive Tracker and Dongle
5. Power on tracker (briefly press Power button).","Operational: Tracker may automatically turn off if not paired within 30 seconds.",None specific.,1,D,Low,"Ensure the dongle is connected to the PC and SteamVR is running before powering on the tracker. Proceed to pairing immediately after powering on to avoid the 30-second pairing timeout.",1,D,Low,"Dr. Timothy Wiley (Academic Supervisor). All operators and users."
"Activity 2: Setting up HTC Vive Tracker and Dongle
6. Pair tracker with dongle via SteamVR app (press Power button for ~2 seconds).","RF Interference: Potential RF interference in lab environment.","Follow pairing instructions in the tracker user manual.",1,D,Low,"Ensure the dongle is placed at least 45 cm from the PC and other wireless devices to minimise RF interference during pairing. Confirm the tracker appears in SteamVR before proceeding.",1,D,Low,"Dr. Timothy Wiley (Academic Supervisor). All operators and users."
"Activity 2: Setting up HTC Vive Tracker and Dongle
7. Verify connection status (green LED = normal, solid green in SteamVR).","Operational: Misinterpreting LED status could lead to operating with low battery or in pairing mode.","Refer to LED status indicator table in tracker user manual.",1,D,Low,"Confirm the tracker LED shows solid green (normal mode) and the SteamVR interface shows the tracker icon as detected. If the LED shows blinking red (low battery), charge the tracker before use. If blinking blue, pairing is still in progress. If no LED, the tracker may be off or out of battery.",1,D,Low,"Dr. Timothy Wiley (Academic Supervisor). All operators and users."
"Activity 3: Charging HTC Vive Trackers
1. Connect USB cable to tracker micro-USB port.","Electrical: Electric shock if cable or port is damaged.","Use only the supplied USB cable.",2,D,Low,"Visually inspect the USB cable for fraying, cuts, exposed wires, or bent connectors before each use. Check for physical damage such as kinks, crushed sections, or melted insulation. Perform a continuity test with a multimeter if damage is suspected. Monitor for unusual heat or smell during first use after any suspected damage.",2,D,Low,"Dr. Timothy Wiley (Academic Supervisor). All operators and users."
"Activity 3: Charging HTC Vive Trackers
2. Connect USB cable to power adapter (5V +/-5%, 1000 mA) and plug into power outlet.","Electrical: Overheating if using incorrect charger; fire risk.","Use only the power adapter that came with VIVE controllers (5V +/-5%, 1000 mA). Comply with the Booster P&ERA: AIIL-Booster-K1-PAR-Development.",3,C,Medium,"Do not leave charging trackers unattended for extended periods. Charge on a non-flammable surface away from combustible materials. Inspect charger and cable for damage before each use.",2,B,Low,"Dr. Timothy Wiley (Academic Supervisor). All operators and users."
"Activity 3: Charging HTC Vive Trackers
3. Alternatively, connect USB cable to PC USB port (500 mA).","Electrical: USB port overload if multiple devices connected.","Follow charging instructions in the tracker user manual.",2,D,Low,"Limit the number of devices connected to the PC USB ports while charging. Use a powered USB hub instead of direct PC USB ports if necessary. Check USB port power limits before connecting devices.",2,D,Low,"Dr. Timothy Wiley (Academic Supervisor). All operators and users."
"Activity 3: Charging HTC Vive Trackers
4. Monitor charging status (orange LED while charging; green/white when fully charged).","Operational: Misinterpreting LED status leading to overcharging or operating with insufficient charge.","Refer to LED status indicator table in tracker user manual.",1,D,Low,"Verify the status light is functioning by observing it change state when the tracker is connected to power (should show orange while charging). Confirm the LED changes to green/white when fully charged before disconnecting. If the status light does not illuminate or behave as expected, do not rely on it; use the SteamVR app to verify battery level instead.",1,D,Low,"Dr. Timothy Wiley (Academic Supervisor). All operators and users."
"Activity 3: Charging HTC Vive Trackers
5. Disconnect USB cable once fully charged.","Trip Hazard: USB cable left across workspace after disconnection.",None specific.,2,C,Medium,"Coil and store USB cable immediately after disconnection.",2,B,Low,"Dr. Timothy Wiley (Academic Supervisor). All operators and users."
"Activity 4: Operating the HTC Vive Motion Tracking System (Vive ROS2 Integration)
1. Ensure the tracking area (play area) is entirely clear of obstacles, objects, and other individuals.","Physical Injury: Collision with obstacles or other individuals in the tracking space while the robot is in motion.","Clear the play area before operation as per tracker user manual. Comply with the Booster P&ERA: AIIL-Booster-K1-PAR-Development.",3,C,Medium,"Conduct a visual sweep of the tracking area before each session. Erect physical barriers or warning tape around the perimeter of the tracking area. Only permitted personnel may be within the tracking area during operation.",2,B,Low,"Dr. Timothy Wiley (Academic Supervisor). All operators and users."
"Activity 4: Operating the HTC Vive Motion Tracking System (Vive ROS2 Integration)
2. Power on the Booster K1 robot (with tracker attached) according to the robot ARA.","As defined in the Booster K1 ARA (AIIL-Booster-K1-PAR-Development).","Comply with the Booster P&ERA: AIIL-Booster-K1-PAR-Development.",-,-,-,-,-,-,-,"Dr. Timothy Wiley (Academic Supervisor). All operators and users."
"Activity 4: Operating the HTC Vive Motion Tracking System (Vive ROS2 Integration)
3. Launch the Vive ROS2 integration software on the PC to begin receiving and recording tracking data.","Software: ROS2 node misconfiguration causing failure to record tracking data.",None specific.,1,C,Low,"Verify that all base stations are powered on and trackers are detected (green LED) before launching ROS2. Confirm ROS2 topics are publishing data before proceeding with recording.",1,B,Low,"Dr. Timothy Wiley (Academic Supervisor). All operators and users."
"Activity 4: Operating the HTC Vive Motion Tracking System (Vive ROS2 Integration)
4. Verify tracking data is being received correctly (check ROS2 topics for pose data).","Data Loss: Incorrect or noisy tracking data leading to unusable recordings.",None specific.,1,C,Low,"Monitor ROS2 tracking topics for data validity. Define acceptable bounds for tracking data (e.g., position, orientation). If tracking data is out of bounds, troubleshoot before continuing.",1,B,Low,"Dr. Timothy Wiley (Academic Supervisor). All operators and users."
"Activity 4: Operating the HTC Vive Motion Tracking System (Vive ROS2 Integration)
5. Operate the robot (teleoperation or autonomous) according to the robot ARA while the tracking system records pose data.","As defined in the Booster K1 ARA (AIIL-Booster-K1-PAR-Development). The tracking system is passive and does not affect robot control.","Comply with the Booster P&ERA: AIIL-Booster-K1-PAR-Development. Hold and have ready access to the joystick for E-Stop. Always monitor the K1.",-,-,-,-,-,-,-,"Dr. Timothy Wiley (Academic Supervisor). All operators and users."
"Activity 4: Operating the HTC Vive Motion Tracking System (Vive ROS2 Integration)
6. Monitor for tracking degradation during operation (bright light, reflective surfaces).","Data Loss: Reduced tracking accuracy due to bright light or reflective surfaces, resulting in poor-quality recordings.","Be aware of environmental factors that affect tracking performance.",1,C,Low,"Position base stations away from direct bright light sources. Avoid reflective surfaces in the tracking area.",1,B,Low,"Dr. Timothy Wiley (Academic Supervisor). All operators and users."
"Activity 4: Operating the HTC Vive Motion Tracking System (Vive ROS2 Integration)
7. Monitor tracker battery level during operation.","Data Loss: Tracker automatically turning off due to low battery, pairing timeout (>30 s idle), or inactivity (>5 min no movement), causing loss of tracking data.","Monitor tracker LED status (blinking red = low battery).",1,C,Low,"Check tracker battery level before each session. Keep spare charged trackers available for swap. If tracker turns off unexpectedly, the robot continues operating normally; only tracking data recording is affected.",1,B,Low,"Dr. Timothy Wiley (Academic Supervisor). All operators and users."
"Activity 5: Updating Firmware (Base Stations and Trackers)
1. Connect base station to computer via micro-USB cable (for base station firmware update).","Trip Hazard: USB cable across workspace.",None specific.,2,C,Medium,"Keep USB cable routed along desk edges. Ensure the cable is not across walkways.",2,B,Low,"Dr. Timothy Wiley (Academic Supervisor). All operators and users."
"Activity 5: Updating Firmware (Base Stations and Trackers)
2. Connect tracker to computer via supplied USB cable (for tracker firmware update).","Trip Hazard: USB cable across workspace.",None specific.,2,C,Medium,"Keep USB cable routed along desk edges. Ensure the cable is not across walkways.",2,B,Low,"Dr. Timothy Wiley (Academic Supervisor). All operators and users."
"Activity 5: Updating Firmware (Base Stations and Trackers)
3. Initiate firmware update via SteamVR app (tracker) or Bluetooth/USB (base station).","Equipment Damage: Bricking the device if power or USB is disconnected during update.","Do not unplug the USB cable or disconnect power any time before the firmware update is complete. Follow firmware update instructions in the respective user guides.",3,C,Medium,"Ensure the computer has stable power (plugged in, not on battery). Do not put the computer to sleep during the update. Verify the correct firmware file before proceeding; confirm with the supervisor responsible for the equipment that the correct firmware version and file is being used. Allow the update to complete without interruption.",2,B,Low,"Dr. Timothy Wiley (Academic Supervisor). All operators and users."
"Activity 5: Updating Firmware (Base Stations and Trackers)
4. Verify firmware update completed successfully (check device status).","Equipment Damage: Incorrect firmware file causing device malfunction.","Follow verification steps in the user guides.",2,D,Low,"After the update completes, power cycle the device and confirm it operates normally (e.g., LED status, detection in SteamVR). Report the successful update to the supervisor responsible for the equipment. If the device does not function as expected, tag it with a ""Do Not Use"" label and notify the supervisor immediately.",2,D,Low,"Dr. Timothy Wiley (Academic Supervisor). All operators and users."
"Activity 6: Packing Up and Storing HTC Vive Equipment
1. Power off base stations and disconnect power cables.","Electrical: Electric shock if cables are pulled forcefully.","Power off before disconnecting.",2,D,Low,"Ensure all cables and units are tagged and tested before operation. Visually inspect cables for fraying, cuts, or exposed wires. If damage is found, tag the affected unit with a ""Do Not Use"" label and report it to the supervisor.",2,D,Low,"Dr. Timothy Wiley (Academic Supervisor). All operators and users."
"Activity 6: Packing Up and Storing HTC Vive Equipment
2. Unmount base stations from tripods.","Physical Injury: Dropping the base station during unmounting. Equipment Damage: Base station falling and shattering.","Use two-person operation: one holds the tripod steady, the other unmounts the base station.",2,C,Medium,"Ensure the base station is securely held before loosening the clamping ring. Place the base station in its protective case immediately after unmounting.",2,B,Low,"Dr. Timothy Wiley (Academic Supervisor). All operators and users."
"Activity 6: Packing Up and Storing HTC Vive Equipment
3. Collapse tripod legs and pack tripods.","Physical Injury: Pinch hazard from collapsing tripod legs.",None specific.,2,C,Medium,"Collapse tripod legs one section at a time, keeping fingers clear of locking mechanisms.",2,B,Low,"Dr. Timothy Wiley (Academic Supervisor). All operators and users."
"Activity 6: Packing Up and Storing HTC Vive Equipment
4. Remove tracker from Booster K1 robot (if applicable).","Physical Injury: Pinch hazard from docking mechanism. Equipment Damage: Dropping the tracker.","Follow tracker removal instructions.",2,C,Medium,"Place the tracker in its protective case immediately after removal.",2,B,Low,"Dr. Timothy Wiley (Academic Supervisor). All operators and users."
"Activity 6: Packing Up and Storing HTC Vive Equipment
5. Disconnect and store dongle, cables, and accessories.","Trip Hazard: USB cable left across workspace after disconnection.",None specific.,2,C,Medium,"Coil and store all cables immediately after disconnection. Store dongle in its cradle or protective case.",2,B,Low,"Dr. Timothy Wiley (Academic Supervisor). All operators and users."
"Activity 6: Packing Up and Storing HTC Vive Equipment
6. Transport equipment to storage location.","Manual Handling: Ergonomic from repeated bending/lifting/carrying equipment.","Comply with the Booster P&ERA: AIIL-Booster-K1-PAR-Development. Comply with RMIT manual handling policies.",2,C,Medium,"Use equipment trolley for multiple items. Do not carry more than one tripod at a time. Bend with knees and keep a straight back when lifting.",2,B,Low,"Dr. Timothy Wiley (Academic Supervisor). All operators and users."
